"","h9_WGBS","methylC-seq_h1_all_merged","RL415_D0_32F_HDFa.rmdup","RL417_P3_32F_Primed.rmdup","RL418_P10_32F_Primed.rmdup","RL702_all_lanes_merged","RL703_all_merge","RL837_2017_09_28_P12_plus_10_38F_SmithR_to_E8_merge","RL838_all_lanes_merged","RL936_32F_P11_plus_10_32F_SmithR_to_E8_rep1_all_merged","RL937_38F_P11_plus_10_38F_SmithR_to_E8_rep1_all_merged","RL1810_2019_09_19_32F_NSCs_N2P_p8_S1_all_lanes_merge","RL1811_2019_09_19_38F_NSCs_N2P_p8_S2_all_lanes_merge","RL1812_2019_09_19_38F_NSCs_primed_p8_S3_all_lanes_merge","RL1813_2019_09_19_32F_NSCs_primed_p7_S4_all_lanes_merge"
"chr16:53406798-53407808",0.944690265486726,0.900977995110024,0.117469879518072,0.0525030525030525,0.060077519379845,0.0489130434782609,0.0512048192771084,0.788918205804749,0.0952380952380952,0.0644490644490645,0.0292096219931271,0.116228070175439,0.927392739273927,0.157389635316699,0.113636363636364
"chr18:14178773-14179709",0.881944444444444,0.860788863109049,0.162621359223301,0.126142595978062,0.0863095238095238,0.578947368421053,0.1,0.753787878787879,0.075,0.0743034055727554,0.699152542372881,0.153846153846154,0.638392857142857,0.104615384615385,0.117493472584856
"chr19:12758274-12759250",0.947136563876652,0.86031746031746,0.16824644549763,0.0816733067729084,0.104166666666667,0.302631578947368,0.164556962025316,0.0694444444444444,0.126984126984127,0.161803713527851,0.0848861283643892,0.787375415282392,0.481675392670157,0.552287581699346,0.50259067357513
"chr1:229567103-229569200",0.919487648673376,0.747368421052632,0.0509615384615385,0.105047748976808,0.0931208053691275,0.0567685589519651,0.238461538461538,0.794489092996556,0.201754385964912,0.151439299123905,0.416579223504722,0.127027027027027,0.920410783055199,0.184210526315789,0.139581256231306
"chr7:42896262-42897134",0.94141689373297,0.916970802919708,0.436688311688312,0.409271523178808,0.512383900928793,0.389671361502347,0.676737160120846,0.884615384615385,0.25764192139738,0.35509138381201,0.476394849785408,0.418960244648318,0.940809968847352,0.790094339622642,0.409961685823755
"chr5:68628355-68628738",0.965648854961832,0.806122448979592,0.0434782608695652,0.0669291338582677,0.0731070496083551,0.0128205128205128,0.156626506024096,0.899082568807339,0.0566037735849057,0.0634328358208955,0.136986301369863,0.781818181818182,0.977272727272727,0.60431654676259,0.831460674157303
"chr16:28379408-28379554",0.933333333333333,0.776223776223776,0.185567010309278,0.157894736842105,0.15,0.111111111111111,0.103448275862069,0.655172413793103,0.0769230769230769,0.263157894736842,0.0461538461538462,0.617647058823529,0.815789473684211,0.868421052631579,0.921052631578947
"chr15:101389318-101390385",0.954810495626822,0.891406987724268,0.0561555075593952,0.1931330472103,0.0896414342629482,0.0254237288135593,0.457575757575758,0.555858310626703,0.214285714285714,0.162839248434238,0.162790697674419,0.538167938931298,0.809623430962343,0.541237113402062,0.172985781990521
"chr2:88124143-88125526",0.0147058823529412,0.0594059405940594,0.76986301369863,0.66875,0.690885072655218,0.753521126760563,0.415254237288136,0.158273381294964,0.340740740740741,0.0289855072463768,0.767085076708508,0.768867924528302,0.00881057268722467,0.357798165137615,0.891525423728814
"chr13:24902124-24902740",0.948453608247423,0.939203354297694,0.0949367088607595,0.243137254901961,0.122186495176849,0.166666666666667,0.271794871794872,0.729838709677419,0.275,0.226890756302521,0.644117647058824,0.69620253164557,0.966850828729282,0.911764705882353,0.518292682926829
