"","h9_WGBS","methylC-seq_h1_all_merged","RL415_D0_32F_HDFa.rmdup","RL417_P3_32F_Primed.rmdup","RL418_P10_32F_Primed.rmdup","RL702_all_lanes_merged","RL703_all_merge","RL837_2017_09_28_P12_plus_10_38F_SmithR_to_E8_merge","RL838_all_lanes_merged","RL936_32F_P11_plus_10_32F_SmithR_to_E8_rep1_all_merged","RL937_38F_P11_plus_10_38F_SmithR_to_E8_rep1_all_merged","RL1810_2019_09_19_32F_NSCs_N2P_p8_S1_all_lanes_merge","RL1811_2019_09_19_38F_NSCs_N2P_p8_S2_all_lanes_merge","RL1812_2019_09_19_38F_NSCs_primed_p8_S3_all_lanes_merge","RL1813_2019_09_19_32F_NSCs_primed_p7_S4_all_lanes_merge"
"chr12:130642603-130650204",0.0407345575959933,0.10670356703567,0.39962240402769,0.592884371029225,0.56650868878357,0.509242144177449,0.490574506283663,0.118518518518519,0.146408839779006,0.0756136183689628,0.515418502202643,0.416337285902503,0.00961538461538462,0.285300207039337,0.225503355704698
"chr4:8857680-8879787",0.141996361982719,0.160350605826244,0.282512315270936,0.289149198520345,0.46338415396151,0.228450306170513,0.36506908462867,0.137570821529745,0.352786885245902,0.0959189752755436,0.822335564764637,0.324049021168232,0.171105866486851,0.123065364387678,0.280184963178626
"chr12:130386982-130389235",0.00524475524475524,0.026615969581749,0.0631136044880785,0.563583815028902,0.488843813387424,0.0655737704918033,0.504065040650406,0.0958429561200924,0.261538461538462,0.0188933873144399,0.46234309623431,0.427710843373494,0.0258064516129032,0.366255144032922,0.153142857142857
"chr7:157475692-157485380",0.0356739670354482,0.0811642214860388,0.0956256358087487,0.263770364623739,0.277690406650191,0.308243727598566,0.521011673151751,0.123584905660377,0.22239263803681,0.0425802351445821,0.824628450106157,0.206915477497256,0.0857773573005361,0.328334396936822,0.0409470752089136
"chr12:130356474-130357606",0.105633802816901,0.220264317180617,0.61437908496732,0.69438202247191,0.649532710280374,0.626984126984127,0.626822157434402,0.342592592592593,0.3,0.121405750798722,0.506265664160401,0.262931034482759,0.125,0.27906976744186,0.357142857142857
"chr6:10883541-10885472",0.539719626168224,0.506550218340611,0.226120857699805,0.0872374798061389,0.0747330960854092,0.30126582278481,0.117365269461078,0.219879518072289,0.21031746031746,0.0832432432432432,0.0824644549763033,0.102649006622517,0.322878228782288,0.157094594594595,0.14367816091954
"chr12:128750838-128753834",0.0436643835616438,0.0553470919324578,0.0139002452984464,0.549870466321243,0.344563552833078,0.0260869565217391,0.589941972920696,0.0776914539400666,0.154811715481172,0.031023784901758,0.811221122112211,0.12621359223301,0.00753768844221105,0.179161372299873,0.0613333333333333
"chr10:133110331-133111109",0.0230769230769231,0.0473684210526316,0.0238095238095238,0.653444676409186,0.394520547945205,0.021505376344086,0.843373493975904,0.079646017699115,0,0.0109489051094891,0.622149837133551,0.391666666666667,0.00643086816720257,0.551401869158878,0.0344827586206897
"chr10:133108952-133109730",0.0345454545454545,0.126482213438735,0.0244444444444444,0.709156193895871,0.470489038785835,0,0.937219730941704,0.10233918128655,0.136363636363636,0.0352564102564103,0.833333333333333,0.469101123595506,0.00938967136150235,0.845238095238095,0.0180412371134021
"chr3:12595380-12595852",0.832835820895522,0.792483660130719,0.0660592255125285,0.237704918032787,0.112860892388451,0.025,0.435820895522388,0.749019607843137,0.108695652173913,0.0849056603773585,0.118604651162791,0.866995073891626,0.843023255813954,0.684365781710914,0.323076923076923
"chr18:14640832-14641588",0.808383233532934,0.865429234338747,0.767955801104972,0.178674351585014,0.150234741784038,0.777777777777778,0.230769230769231,0.378378378378378,0.1875,0.222846441947566,0.769230769230769,0.347368421052632,0.511111111111111,0.48780487804878,0.523076923076923
"chr1:207818036-207819316",0.955729166666667,0.929910350448248,0.19,0.0769230769230769,0.0580912863070539,0.19,0.0533333333333333,0.904761904761905,0.246575342465753,0.120075046904315,0.324960753532182,0.923933209647495,0.953804347826087,0.781115879828326,0.485507246376812
"chr6:117583566-117585207",0.925233644859813,0.743756786102063,0.241228070175439,0.406732117812062,0.338781575037147,0.226229508196721,0.470899470899471,0.289044289044289,0.516025641025641,0.487654320987654,0.365461847389558,0.264150943396226,0.806666666666667,0.660056657223796,0.459239130434783
"chr12:130255810-130256906",0.108527131782946,0.138686131386861,0.375,0.612765957446809,0.511737089201878,0.409638554216867,0.508982035928144,0.0943396226415094,0.204819277108434,0.134615384615385,0.511111111111111,0.359154929577465,0.546583850931677,0.503649635036496,0.143884892086331
"chr3:138152219-138153127",0.69047619047619,0.890122086570477,0.209745762711864,0.339285714285714,0.240234375,0.146496815286624,0.492537313432836,0.560606060606061,0.340909090909091,0.393854748603352,0.570552147239264,0.668789808917197,0.791208791208791,0.5,0.653266331658292
"chr18:14458089-14458699",0.904761904761905,0.899328859060403,0.257142857142857,0.256521739130435,0.25,0.821428571428571,0.027027027027027,0.477777777777778,0.722222222222222,0.095,0.803030303030303,0.150684931506849,0.849056603773585,0.688888888888889,0.168888888888889
